iter	Passed	Remaining
922	1359	113
923	1361	111
924	1362	110
925	1363	108
926	1365	107
927	1367	106
928	1368	104
929	1369	103
930	1371	101
931	1373	100
932	1374	98
933	1375	97
934	1377	95
935	1378	94
936	1380	92
937	1381	91
938	1383	89
939	1384	88
940	1386	86
941	1387	85
942	1389	83
943	1391	82
944	1392	81
945	1394	79
946	1395	78
947	1397	76
948	1398	75
949	1399	73
950	1401	72
951	1403	70
952	1404	69
953	1405	67
954	1407	66
955	1408	64
956	1410	63
957	1411	61
958	1413	60
959	1414	58
960	1415	57
961	1417	55
962	1418	54
963	1420	53
964	1421	51
965	1423	50
966	1425	48
967	1426	47
968	1427	45
969	1429	44
970	1430	42
971	1431	41
972	1433	39
973	1435	38
974	1436	36
975	1438	35
976	1439	33
977	1441	32
978	1442	30
979	1444	29
980	1445	27
981	1447	26
982	1448	25
983	1449	23
984	1451	22
985	1452	20
986	1453	19
987	1455	17
988	1456	16
989	1458	14
990	1459	13
991	1461	11
992	1462	10
993	1464	8
994	1465	7
995	1467	5
996	1468	4
997	1470	2
998	1471	1
999	1473	0
